MOF_Name,Short_ID,id,Base_Group,Topology,OMS,Stability,FlueGas_Score,DAC_Score,CO2_Affinity,Selectivity,Dimension,LCD,PLD,VF,PV,K_H_Norm,PV_Norm,GEMC_data,Zeopp,metal,Log_K_H
MTV_ZIF8_nIm_ratio000_ens1,MTV,{'mofid-v1': 'MTV_ZIF8_nIm_ratio000_ens1;MTV;gme'},N2-Sieving (Narrow),gme,False,Robust,49.999998587415625,79.99999773986501,7.28356e-06,4.774,3,11.393,3.409,0.0,0.0,99.99999717483125,0.0,"{'Widom': [7e-06, 2e-06]}","{'dimension': 3, 'LCD': 11.393, 'PLD': 3.409, 'Dif': 11.393, 'VF': 0.0, 'PV': 0.0}","{'metal_type': 'Zn', 'has_OMS': False}",-5.137596675238259
MTV_ZIF8_nIm_ratio025_ens2,MTV,{'mofid-v1': 'MTV_ZIF8_nIm_ratio025_ens2;MTV;gme'},N2-Sieving (Narrow),gme,False,Robust,38.270968598394205,61.23354975743073,7.14561e-06,4.942,3,10.849,3.409,0.0,0.0,76.54193719678841,0.0,"{'Widom': [7e-06, 1e-06]}","{'dimension': 3, 'LCD': 10.849, 'PLD': 3.409, 'Dif': 10.849, 'VF': 0.0, 'PV': 0.0}","{'metal_type': 'Zn', 'has_OMS': False}",-5.1458999172789035
MTV_ZIF8_nIm_ratio025_ens3,MTV,{'mofid-v1': 'MTV_ZIF8_nIm_ratio025_ens3;MTV;gme'},N2-Sieving (Narrow),gme,False,Robust,36.44325279329769,58.3092044692763,7.12435e-06,4.941,3,10.898,3.409,0.0,0.0,72.88650558659538,0.0,"{'Widom': [7e-06, 1e-06]}","{'dimension': 3, 'LCD': 10.898, 'PLD': 3.409, 'Dif': 10.898, 'VF': 0.0, 'PV': 0.0}","{'metal_type': 'Zn', 'has_OMS': False}",-5.147193798079399
MTV_ZIF8_nIm_ratio025_ens1,MTV,{'mofid-v1': 'MTV_ZIF8_nIm_ratio025_ens1;MTV;gme'},N2-Sieving (Narrow),gme,False,Robust,32.645799583559956,52.23327933369593,7.08038e-06,4.937,3,10.898,3.409,0.0,0.0,65.29159916711991,0.0,"{'Widom': [7e-06, 1e-06]}","{'dimension': 3, 'LCD': 10.898, 'PLD': 3.409, 'Dif': 10.898, 'VF': 0.0, 'PV': 0.0}","{'metal_type': 'Zn', 'has_OMS': False}",-5.149882099939654
MTV_ZIF8_nIm_ratio050_ens2,MTV,{'mofid-v1': 'MTV_ZIF8_nIm_ratio050_ens2;MTV;gme'},N2-Sieving (Narrow),gme,False,Robust,21.914888445725122,35.0638215131602,6.95759e-06,5.087,3,10.729,3.409,0.0,0.0,43.829776891450244,0.0,"{'Widom': [7e-06, 1e-06]}","{'dimension': 3, 'LCD': 10.729, 'PLD': 3.409, 'Dif': 10.587, 'VF': 0.0, 'PV': 0.0}","{'metal_type': 'Zn', 'has_OMS': False}",-5.157478751374383
MTV_ZIF8_nIm_ratio050_ens1,MTV,{'mofid-v1': 'MTV_ZIF8_nIm_ratio050_ens1;MTV;gme'},N2-Sieving (Narrow),gme,False,Robust,20.4938486729721,32.79015787675536,6.94149e-06,5.062,3,10.67,3.409,0.0,0.0,40.9876973459442,0.0,"{'Widom': [7e-06, 1e-06]}","{'dimension': 3, 'LCD': 10.67, 'PLD': 3.409, 'Dif': 10.67, 'VF': 0.0, 'PV': 0.0}","{'metal_type': 'Zn', 'has_OMS': False}",-5.158484737137366
MTV_ZIF8_nIm_ratio050_ens3,MTV,{'mofid-v1': 'MTV_ZIF8_nIm_ratio050_ens3;MTV;gme'},N2-Sieving (Narrow),gme,False,Robust,15.560939408628386,24.89750305380542,6.88589e-06,5.06,3,10.494,3.409,0.0,0.0,31.12187881725677,0.0,"{'Widom': [7e-06, 1e-06]}","{'dimension': 3, 'LCD': 10.494, 'PLD': 3.409, 'Dif': 10.477, 'VF': 0.0, 'PV': 0.0}","{'metal_type': 'Zn', 'has_OMS': False}",-5.161976853674259
MTV_ZIF8_nIm_ratio075_ens1,MTV,{'mofid-v1': 'MTV_ZIF8_nIm_ratio075_ens1;MTV;gme'},N2-Sieving (Narrow),gme,False,Robust,9.747800244562448,15.596480391299918,6.82094e-06,5.18,3,10.488,3.409,0.0,0.0,19.495600489124897,0.0,"{'Widom': [7e-06, 1e-06]}","{'dimension': 3, 'LCD': 10.488, 'PLD': 3.409, 'Dif': 10.488, 'VF': 0.0, 'PV': 0.0}","{'metal_type': 'Zn', 'has_OMS': False}",-5.166092104597854
MTV_ZIF8_nIm_ratio075_ens3,MTV,{'mofid-v1': 'MTV_ZIF8_nIm_ratio075_ens3;MTV;gme'},N2-Sieving (Narrow),gme,False,Robust,5.554587701973986,8.887340323158378,6.77447e-06,5.188,3,10.491,3.409,0.0,0.0,11.109175403947972,0.0,"{'Widom': [7e-06, 1e-06]}","{'dimension': 3, 'LCD': 10.491, 'PLD': 3.409, 'Dif': 10.491, 'VF': 0.0, 'PV': 0.0}","{'metal_type': 'Zn', 'has_OMS': False}",-5.169060573320465
MTV_ZIF8_nIm_ratio075_ens2,MTV,{'mofid-v1': 'MTV_ZIF8_nIm_ratio075_ens2;MTV;gme'},N2-Sieving (Narrow),gme,False,Robust,5.429624368637786,8.687398989820457,6.77309e-06,5.206,3,10.492,3.409,0.0,0.0,10.859248737275571,0.0,"{'Widom': [7e-06, 1e-06]}","{'dimension': 3, 'LCD': 10.492, 'PLD': 3.409, 'Dif': 10.468, 'VF': 0.0, 'PV': 0.0}","{'metal_type': 'Zn', 'has_OMS': False}",-5.169149037652457
