MOF_Name,Di_LCD,Df_PLD,Dif
Co-MOF-10_CUK-1Co_300mpa,5.18885,4.53783,5.18885
Co-MOF-10_CUK-1Co_500mpa,3.77912,3.05610,3.77912
Co-MOF-10_CUK-1Co_680mpa,3.66300,3.28026,3.66300
Co-MOF-9_1_a_sq,4.36261,2.65196,4.36261
Co-MOF-9_1_a_sq_CCDC1,6.08126,3.38644,6.08126
Co-MOF-9_1_a_sq_CCDC2,5.51135,3.63043,5.30936
Co-dmd_mkt004s_sq,9.56991,9.39538,9.56991
Co-dmd_mkt009s_sq,10.09489,9.69363,10.09489
Co-dmd_mkt012s_sq,9.75298,9.55684,9.75298
Co-dmd_mkt015s_sq,10.27952,9.56631,9.87036
Co-dmd_mkt018s_sq,10.32145,9.57091,9.91614
MFU_4I_Cu_MFU4l,18.71456,9.18672,18.71456
MFU_4I_Cu_MFU4l_HCOO,18.64055,8.76062,17.74387
MFU_4I_MFU4l_HCOO,18.70972,9.17861,18.70972
ZIF-69-crystal,9.40570,4.90363,8.09999
ZIF-8,11.82118,3.52523,11.82118
ZIF_67,5.97121,0.79236,5.97121
Zn-MOF-11,5.33791,1.26626,5.33791
mg-mof-74-dobdc,11.73799,11.03728,11.73799
