MOF_Name,CO2_Uptake_mol_per_kg,CO2_Uptake_cm3_per_g
Co-MOF-10_CUK-1Co_300mpa,0.3915114554,8.7753282666
Co-MOF-10_CUK-1Co_500mpa,0.4185505626,9.3813821582
Co-MOF-10_CUK-1Co_680mpa,0.4231805467,9.4851585095
Co-MOF-9_1_a_sq,0.5656387449,12.6782131090
Co-MOF-9_1_a_sq_CCDC1,0.7392564099,16.5696752419
Co-MOF-9_1_a_sq_CCDC2,2.3354134419,52.3459002470
Co-dmd_CoMe2bdp,1.4681575625,32.9072480003
Co-dmd_Cod4bdp,0.0000000000,0.0000000000
Co-dmd_collapsedCo_p-F2-bdp_,0.0000000000,0.0000000000
Co-dmd_expanded_Co_p-F2-bdp_,0.4735318161,10.6137306425
Co-dmd_mkt004s_sq,0.4786478875,10.7284021425
Co-dmd_mkt009s_sq,0.8342909720,18.6997776126
Co-dmd_mkt012s_sq,0.5362327583,12.0191080396
Co-dmd_mkt015s_sq,0.5502120213,12.3324389023
Co-dmd_mkt018s_sq,0.5402056624,12.1081566159
MFU_4I_Cu_MFU4l,3.0688569806,68.7852859356
MFU_4I_Cu_MFU4l_HCOO,2.9779210973,66.7470512537
MFU_4I_MFU4l_HCOO,3.0827540856,69.0967753111
ZIF-69-crystal,1.6765866936,37.5789734883
ZIF-78-crystal,-nan,-nan
ZIF-8,0.7950871511,17.8210641216
ZIF-90-crystal,-nan,-nan
ZIF_67,0.6153983018,13.7935226125
Zn-MOF-11,1.6217673459,36.3502539589
mg-mof-74-dobdc,2.5627443148,57.4412889198
