tag,Qst,Qst_err,loading_015bar,PLD,LCD,AV,relax_pass,stability_pass,mosaec_source,mosaec_hard,mosaec_soft,mosaec_state
saIm100,34.014682450536,0.5511716658,1.5428524593,4.22912,8.90981,723.311,True,,,,,
saIm075,31.423412426236002,0.2189162558,1.3601753439,3.74664,9.40845,923.436,True,,,,,
saIm050,29.506403683136,0.190304755,1.2389783587,4.49458,10.15276,1084.68,True,,,,,
mslm075,29.011304560135997,0.2504980157,1.0029504957,3.63516,9.2092,854.822,True,,,,,
nbIm100,28.867728841136,0.3480984275,0.8791511494,5.55427,10.24736,1414.6,True,,,,,
mslm050,28.820218746536,0.2464886716,1.2430670923,3.94014,7.49755,451.712,True,,,,,
nbIm050,28.517409743536,0.3709624026,0.8311703131,4.51496,9.68335,1419.75,True,,,,,
saIm025,27.970780796935998,0.1007554675,0.964456039,4.47933,9.35853,1289.95,True,,,,,
mslm025,27.578609696336,0.0887035807,0.9084148957,4.58298,8.58154,1195.61,True,,,,,
nbIm025,27.508264026135997,0.3467032116,0.8038930092,4.92052,9.98677,1483.22,True,,,,,
nbIm075,27.366429907636,0.4433641812,0.8809221362,5.34336,10.50189,1411.17,True,,,,,
cf3Im075,26.723956034836,0.2426670621,0.8270175038,4.68229,8.38737,1031.5,True,,,,,
cf3Im050,26.573529688236,0.2387543231,0.8371012924,4.78541,8.71654,1182.46,True,,,,,
mbIm025,26.051076457236,0.3545214891,0.7289391752,5.22239,9.38798,1415.74,True,,,,,
cf3Im025,25.605725390335998,0.1515214372,0.7930065009,5.20977,9.33792,1336.84,True,,,,,
cnbIm050,24.730136826536,0.0701509969,0.7314805987,4.95951,9.69183,1402.59,True,,,,,
cnbIm025,24.524474194935998,0.1980279703,0.700361068,5.24587,9.65226,1419.75,True,,,,,
cnbIm075,24.459031657736,0.0896469002,0.7610146595,5.03087,9.72067,1383.15,True,,,,,
mbIm100,23.974056665036,0.1974000194,0.6148486297,4.93602,8.71782,1211.04,True,,,,,
cnbIm100,23.826119955236,0.1189297435,0.7519813942,5.0029,9.56955,1323.69,True,,,,,
mbIm075,23.726134314535997,0.2330447408,0.6139842318,4.91669,8.78321,1234.49,True,,,,,
fbIm100,23.030075332135997,0.1572174551,0.4155788257,6.29185,9.28409,1475.21,True,,,,,
mbIm050,23.012691524136,0.1286950431,0.5936519153,4.84775,8.83828,1217.91,True,,,,,
fbIm075,23.001307581336,0.239642626,0.4455371077,5.5769,9.00292,1418.03,True,,,,,
brbIm025,22.835818061936,0.2174484587,0.5684634015,5.03229,9.00189,1234.49,True,,,,,
brbIm100,22.729967642635998,0.1397625076,0.56371846,4.65157,8.80947,1116.7,True,,,,,
fbIm050,22.606524080236,0.1382747673,0.5028515229,5.19186,9.01849,1351.7,True,,,,,
brbIm050,22.574040791635998,0.0985050018,0.5719365259,4.63752,8.83789,1173.88,True,,,,,
brbIm075,22.529711228436,0.096017594,0.5667562707,4.64399,8.82998,1140.14,True,,,,,
fbIm025,22.453383190535998,0.1084649371,0.544971636,5.2005,9.02976,1301.39,True,,,,,
base,22.419619997035998,0.1128659201,0.5889109478,5.157,8.89809,1232.2,,,,,,
