MinStep,CellMinStep,AtomMinStep,FinalStep,Energy,EDiff
1,389,7829,7829,5622.4410116365697831,44377.5589883634
2,7860,10671,10671,5618.7284028825815767,3.71260875399003
3,10691,13189,13189,5618.3265022238983875,0.401900658679551
4,13191,15030,15030,5618.2558362327727082,0.0706659911302268
5,15037,17147,17147,5618.185196959503628,0.0706392732699896
6,17149,18901,18901,5618.1502783796959193,0.0349185798004328
7,18908,21013,21013,5618.1054926888291448,0.044785690869503
8,21016,22701,22701,5618.0934075699124151,0.0120851189203677
9,22707,24607,24607,5618.0647697854046783,0.0286377845095558
10,24610,26526,26526,5618.0477989058545063,0.016970879550172
11,26527,26560,26560,5618.0477989049049938,9.49512468650937e-10
