name,kind,formula,spacegroup,spacegroup_number,a,volume_A3,density_g_cm3,n_sites,peak1_2theta,peak1_I,peak2_2theta,peak2_I
clIm025_mIm050_nIm025__closed,MTV 생성,Zn6H39C41N28Cl3O8,P1,1,16.991,4905.2,1.0499,250,7.358,100.0,9.015,8.8
clIm025_mIm050_nIm025__open,MTV 생성,Zn6H39C41N28Cl3O8,P1,1,17.071,4974.81,1.0352,250,7.323,100.0,10.364,12.2
clIm025_mIm075__closed,MTV 생성,Zn2H17C15N8Cl,P1,1,16.991,4905.2,0.9661,258,7.358,100.0,10.413,13.7
clIm025_mIm075__open,MTV 생성,Zn2H17C15N8Cl,P1,1,17.071,4974.81,0.9525,258,7.323,100.0,10.364,10.0
clIm050_mIm050__closed,MTV 생성,Zn6H39C41N24Cl7,P1,1,16.991,4905.2,1.0214,234,7.358,100.0,10.413,16.8
clIm050_mIm050__open,MTV 생성,Zn6H39C41N24Cl7,P1,1,17.071,4974.81,1.0071,234,7.323,100.0,10.364,11.9
cnIm025_mIm075__closed,MTV 생성,Zn2H17C16N9,P1,1,16.991,4905.2,0.9469,264,7.358,100.0,10.413,13.3
cnIm025_mIm075__open,MTV 생성,Zn2H17C16N9,P1,1,17.071,4974.81,0.9336,264,7.323,100.0,10.364,10.0
mIm050_nIm050__closed,MTV 생성,Zn6H39C41N31O14,P1,1,16.991,4905.2,1.0714,262,7.358,100.0,9.015,11.3
mIm050_nIm050__open,MTV 생성,Zn6H39C41N31O14,P1,1,17.071,4974.81,1.0564,262,7.323,100.0,8.972,7.4
mIm075_nIm025__closed,MTV 생성,Zn2H17C15N9O2,P1,1,16.991,4905.2,0.9875,270,7.358,100.0,10.413,14.6
mIm075_nIm025__open,MTV 생성,Zn2H17C15N9O2,P1,1,17.071,4974.81,0.9737,270,7.323,100.0,10.364,10.1
mIm100__closed,MTV 생성,ZnH10(C2N)4,P1,1,16.991,4905.2,0.9246,276,7.358,100.0,10.413,12.0
mIm100__open,MTV 생성,ZnH10(C2N)4,I-43m,217,17.071,4974.81,0.9116,276,7.323,100.0,10.364,9.5
REF_ZIF8_ambient,실험 원본(참조),ZnH10(C2N)4,P1,1,16.991,4905.2,0.9246,276,7.358,100.0,10.413,12.0
REF_ZIF8_open_1.47GPa,실험 원본(참조),ZnH10(C2N)4,I-43m,217,17.071,4974.81,0.9116,276,7.323,100.0,10.364,9.5
