구조 5개 x RH 4단계 = 20개 작업
CO2 0.15 bar 고정, 298 K, TIP5P-Ew, 15000 사이클

  [       ok] RH  0% mIm100__closed                   CO2  0.2698  H2O   0.0000
  [       ok] RH 25% mIm100__closed                   CO2  0.2698  H2O   0.0083
  [       ok] RH 50% mIm100__closed                   CO2  0.2720  H2O   0.0171
  [       ok] RH 90% mIm100__closed                   CO2  0.2722  H2O   0.0313
  [       ok] RH  0% clIm100__closed                  CO2  0.1307  H2O   0.0000
  [       ok] RH 25% clIm100__closed                  CO2  0.1310  H2O   0.0048
  [       ok] RH 50% clIm100__closed                  CO2  0.1293  H2O   0.0090
  [       ok] RH 90% clIm100__closed                  CO2  0.1320  H2O   0.0173
  [       ok] RH  0% mIm050_saIm050__closed           CO2  0.8540  H2O   0.0000
